链接,标题,面积,地址,房价
https://www.ziroom.com/x/808274588.html,整租·运河明珠2居室-南,98㎡ | 1/7层,房源距北运河西站步行约472米,5460元/月
https://www.ziroom.com/x/716565466.html,合租·金汉绿港三区4居室-南卧,22㎡ | 19/20层,房源距顺义站步行约974米,1960元/月
https://www.ziroom.com/x/728273851.html,合租·首开熙悦睿府书香4居室-南卧,19.3㎡ | 14/20层,房源距良乡大学城站步行约718米,1830元/月
https://www.ziroom.com/x/722347733.html,合租·佳世苑小区3居室-南卧,18.97㎡ | 4/11层,房源距苏庄站步行约815米,1830元/月
https://www.ziroom.com/x/737499618.html,合租·署前街家园3居室-南卧,18.6㎡ | 9/11层,房源距良乡南关站步行约954米,1730元/月
https://www.ziroom.com/x/712879466.html,合租·东兴一区3居室-南卧,19.8㎡ | 5/6层,房源距顺义站步行约453米,2090元/月
https://www.ziroom.com/x/807930860.html,合租·鸿顺园东区3居室-南卧,14.7㎡ | 3/6层,房源距良乡大学城西站步行约449米,1790元/月
https://www.ziroom.com/x/739312063.html,整租·兴海家园日苑2居室-南,112㎡ | 5/6层,房源距西红门站步行约594米,6790元/月
https://www.ziroom.com/x/807953470.html,合租·碧波园3居室-南卧,17.14㎡ | 3/6层,房源距广阳城站步行约615米,2160元/月
https://www.ziroom.com/x/808111810.html,整租·紫运南里一区2居室-南,89㎡ | 11/25层,房源距北运河东站步行约909米,5530元/月
https://www.ziroom.com/x/761005531.html,合租·首开熙悦山澜庭3居室-南卧,18.17㎡ | 16/21层,房源距长阳站步行约692米,2460元/月
https://www.ziroom.com/x/727632972.html,合租·芭蕾雨悦都南区3居室-南卧,18.61㎡ | 6/9层,房源距篱笆房站步行约447米,2460元/月
https://www.ziroom.com/x/737174765.html,合租·幸福西区3居室-南卧,15.8㎡ | 2/9层,房源距顺义站步行约350米,2030元/月
https://www.ziroom.com/x/734851712.html,合租·建邦华庭东区3居室-南卧,21.9㎡ | 2/11层,房源距长阳站步行约650米,2460元/月
https://www.ziroom.com/x/779645827.html,合租·长阳国际城二区3居室-南卧,22.44㎡ | 19/20层,房源距长阳站步行约1206米,2190元/月
https://www.ziroom.com/x/756019246.html,整租·北辰福第二号院2居室-南,85㎡ | 10/27层,房源距常营站步行约624米,6490元/月
https://www.ziroom.com/x/809083193.html,合租·天时名苑4居室-南卧,17.4㎡ | 24/29层,房源距通州北苑站步行约341米,2760元/月
https://www.ziroom.com/x/714515759.html,合租·万恒家园4居室-南卧,24㎡ | 3/6层,房源距郭庄子站步行约314米,2490元/月
https://www.ziroom.com/x/740014828.html,合租·稻田回迁楼北区3居室-南卧,17.6㎡ | 11/15层,房源距稻田站步行约354米,2230元/月
https://www.ziroom.com/x/732292270.html,合租·邑上苑3居室-南卧,24㎡ | 2/9层,房源距昌平站步行约914米,2290元/月
https://www.ziroom.com/x/736434655.html,合租·清源西里3居室-南卧,19.5㎡ | 6/6层,房源距清源路站步行约492米,2430元/月
https://www.ziroom.com/x/721220108.html,合租·三环新城6号院3居室-北卧,18.6㎡ | 3/10层,房源距丰台站站步行约702米,2930元/月
https://www.ziroom.com/x/807999460.html,整租·三环新城7号院2居室-北,90.73㎡ | 12/15层,房源距丰台站站步行约396米,7190元/月
https://www.ziroom.com/x/754592667.html,合租·TBD住总万科天地3居室-南卧,19.3㎡ | 18/19层,房源距朱辛庄站步行约279米,2330元/月
https://www.ziroom.com/x/626524188.html,合租·前进花园石门苑3居室-南卧,20.4㎡ | 4/6层,房源距石门站步行约867米,2330元/月
https://www.ziroom.com/x/732935671.html,合租·路劲世界城二期3居室-南卧,19.6㎡ | 14/16层,房源距南邵站步行约942米,2390元/月
https://www.ziroom.com/x/737175541.html,合租·幸福西区3居室-南卧,16.8㎡ | 2/9层,房源距顺义站步行约350米,2260元/月
https://www.ziroom.com/x/729825463.html,合租·玉兰苑4居室-南卧,26.1㎡ | 2/6层,房源距石门站步行约736米,2430元/月
https://www.ziroom.com/x/752932027.html,合租·枣园东里3居室-南卧,20.2㎡ | 1/6层,房源距枣园站步行约380米,2460元/月
